t,V,Vtilde,tau_star,d_star,V_recomputed,Vtilde_linkage
224.475,115669.15528101764,115669.15538282495,291.5140190347209,0.0,115689.74515733644,115689.74515733644
226.3,115682.39360126351,115682.39370398257,290.69659280950094,0.0,115702.75596483401,115702.75596483401
228.125,115695.63960089885,115695.63970453413,289.88241190238415,0.0,115715.7668889832,115715.7668889832
229.95,115708.8849728371,115708.8850773976,289.0725212768222,0.0,115728.77017295636,115728.77017295636
231.775,115722.12137013405,115722.12147563238,288.2679160882688,0.0,115741.7576562155,115741.7576562155
233.6,115735.34038481921,115735.34049127069,287.46949543793966,0.0,115754.71946038192,115754.71946038192
235.425,115748.53352503166,115748.53363245261,286.67802929381776,0.0,115767.64809417537,115767.64809417537
237.25,115761.69219303537,115761.69230144157,285.8941420905008,0.0,115780.53398537583,115780.53398537583
239.075,115774.8076666725,115774.80777607759,285.118314706513,0.0,115793.36803602538,115793.36803602538
240.9,115787.87108646517,115787.87119687909,284.3509045354114,0.0,115806.14185603814,115806.14185603814
242.725,115800.87344993315,115800.87356136118,283.592181426235,0.0,115818.8463078956,115818.8463078956
244.55,115813.80561382431,115813.80572626607,282.8423755753866,0.0,115831.47298806775,115831.47298806775
246.375,115826.65830395494,115826.65841740437,282.10173218504355,0.0,115844.0113505625,115844.0113505625
248.2,115839.42213134967,115839.42224579508,281.3705669962784,0.0,115856.4537938812,115856.4537938812
250.025,115852.08761247293,115852.0877278979,280.6493167323815,0.0,115868.78942984914,115868.78942984914
251.85,115864.64519067896,115864.6453070635,279.9385790562212,0.0,115881.0092286255,115881.0092286255
253.675,115877.08525565961,115877.08537298134,279.23913779366666,0.0,115893.10329896159,115893.10329896159
255.5,115889.39815770129,115889.39827593716,278.5519707803169,0.0,115905.06312307653,115905.06312307653
257.325,115901.5742139916,115901.57433311909,277.87823957956033,0.0,115916.87698872005,115916.87698872005
259.15,115913.60370500649,115913.60382500499,277.21926229417903,0.0,115928.5362442418,115928.5362442418
260.975,115925.47686009387,115925.4769809454,276.57647253988114,0.0,115940.02837235395,115940.02837235395
262.8,115937.1838326344,115937.1839543241,275.95136916889794,0.0,115951.34448214508,115951.34448214508
264.625,115948.71466646585,115948.71478898167,275.34546236085316,0.0,115962.47398838242,115962.47398838242
266.45,115960.0592564591,115960.05937979142,274.7602221239233,0.0,115973.40533555824,115973.40533555824
268.275,115971.20730708574,115971.20743122594,274.19703502316713,0.0,115984.1278235678,115984.1278235678
270.1,115982.14829339193,115982.1484183312,273.65717409547943,0.0,115994.63099644228,115994.63099644228
271.925,115992.8714289138,115992.87155464132,273.1417855101897,0.0,116004.90260906631,116004.90260906631
273.75,116003.36564468716,116003.36577118842,272.65189373777974,0.0,116014.93127910636,116014.93127910636
275.575,116013.61958264041,116013.61970989553,272.18842498678896,0.0,116024.70549745638,116024.70549745638
277.4,116023.62160538348,116023.62173336589,271.75224667445735,0.0,116034.2142584172,116034.2142584172
279.225,116033.3598228367,116033.35995151232,271.34421892451974,0.0,116043.44412794994,116043.44412794994
281.05,116042.82213444504,116042.82226377193,270.96525272823965,0.0,116052.38496510881,116052.38496510881
282.875,116051.99628407332,116051.99641400157,270.61636861174674,0.0,116061.02361119149,116061.02361119149
284.7,116060.86992327069,116060.8700537433,270.29874951408937,0.0,116069.34792327229,116069.34792327229
286.525,116069.43067759671,116069.43080855081,270.013782116442,0.0,116077.34528411084,116077.34528411084
288.35,116077.6662102509,116077.66634161909,269.7630820210568,0.0,116085.00309686725,116085.00309686725
290.175,116085.5642774325,116085.56440914447,269.5484998380814,0.0,116092.30838196419,116092.30838196419
292.0,116093.11277068972,116093.11290267426,269.3721072222857,0.0,116099.24854340532,116099.24854340532
293.825,116100.29974295301,116100.29987513908,269.236163995094,0.0,116105.81110662737,116105.81110662737
295.65,116107.11341685941,116107.1135491776,269.14306945960305,0.0,116111.9832085305,116111.9832085305
297.475,116113.5421761915,116113.54230857441,269.09530264624976,0.0,116117.75089630655,116117.75089630655
299.3,116119.574543543,116119.57467592538,269.0953573265073,0.0,116123.10357035916,116123.10357035916
301.125,116125.19914944557,116125.19928176381,269.14567806800517,0.0,116128.02781114265,116128.02781114265
302.95,116130.40469989288,116130.40483208363,269.2486033135782,0.0,116132.5105386596,116132.5105386596
304.775,116135.17995026802,116135.18008226647,269.40632046475525,0.0,116136.5402820145,116136.5402820145
306.6,116139.51369394762,116139.51382568548,269.6208363323561,0.0,116140.10484180559,116140.10484180559
308.425,116143.39477322965,116143.39490463276,269.8939642500257,0.0,116143.19382195867,116143.19382195867
310.25,116146.8121187013,116146.81224968702,270.2273268533725,0.0,116145.79476980909,116145.79476980909
312.075,116149.75482081644,116149.75495129194,270.6223712642574,0.0,116147.89739152383,116147.89739152383
313.9,116152.21223446455,116152.21236432457,271.0803914504393,0.0,116149.49201431434,116149.49201431434
315.725,116154.17411393144,116154.17424305732,271.602551098264,0.0,116150.56950568942,116150.56950568942
