t0_month,tau,t_calendar,I_baseline,I_xi_small,I_xi_full,OC,Y_H_baseline,Y_H_xi_small,Y_H_xi_full
5,122.1984258378492,242.1984258378492,51225.11368750094,53025.42565958245,1.8515346389672433e6,1.7745342517063916e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,125.17887524852846,245.17887524852847,53886.09632949168,55705.52999901798,1.8733055985107182e6,1.7934401031121612e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,128.1593246592077,248.1593246592077,56652.9406370661,58497.434049546406,1.9011324636596849e6,1.8182958505214006e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,131.13977406988695,251.13977406988695,59528.303676921285,61397.87917433739,1.9290896265452572e6,1.8431718884763867e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,134.1202234805662,254.1202234805662,62515.00528429932,64409.68681594761,1.9571823276914374e6,1.8680694324888438e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,137.10067289124544,257.10067289124544,65616.03778128933,67535.85175696154,1.9854161699629351e6,1.8929896564641297e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,140.0811223019247,260.08112230192467,68834.5782128293,70779.55502378575,2.0137971865211867e6,1.9179337118591666e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,143.06157171260395,263.06157171260395,72174.00483972159,74131.80127947593,2.029906402832992e6,1.9304787805477679e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,146.0420211232832,266.04202112328323,75637.90808865974,77605.1562399439,2.04282244280984e6,1.9396982120352387e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,149.02247053396243,269.0224705339624,79230.10434311323,81206.84179052661,2.0559035166095402e6,1.9489452580451816e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,152.0029199446417,272.0029199446417,82954.65540301,84940.92292352425,2.0691579478900505e6,1.9582221888169944e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,154.98336935532095,274.983369355321,86815.88216966634,88811.724885272,2.0825949307190424e6,1.9675309952177703e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,157.9638187660002,277.9638187660002,90818.3808817281,92823.85126753306,2.0962246906739217e6,1.9768733887422532e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,160.94426817667943,280.94426817667943,94967.04762497089,96948.0690697273,2.0758603801640098e6,1.9520575439690799e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,163.92471758735869,283.9247175873587,99267.09736113,101222.08295718448,2.054125303368616e6,1.925700624273643e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,166.90516699803794,286.90516699803794,103724.08469860502,105653.09738113177,2.032608969625419e6,1.899382449724093e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,169.8856164087172,289.88561640871717,108343.93752260895,110247.0477125086,2.0113256048585547e6,1.8731072406465262e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,172.86606581939643,292.86606581939645,113132.98609482645,115010.27182489628,1.9902912388653017e6,1.846879573372379e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,175.84651523007568,295.8465152300757,118097.99280801545,119953.05337280182,1.9729093061669576e6,1.8240892055309117e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,178.82696464075494,298.8269646407549,123246.20434590528,125102.88508444467,1.9796766141754019e6,1.8252152171639204e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,181.8074140514342,301.8074140514342,128585.39985485967,130443.83501076973,1.9867717249795431e6,1.8264163515466899e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,184.78786346211342,304.7878634621134,134123.94059811553,135984.29298141002,1.9942262898856339e6,1.8277044345414788e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,187.76831287279268,307.76831287279265,139870.8597597745,141733.3172631873,2.0020774970100673e6,1.82909153264907e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,190.74876228347193,310.74876228347193,145835.94279633366,147700.72472745494,2.0103692303309813e6,1.8305899530085921e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,193.7292116941512,313.7292116941512,152029.8258747976,153877.00316169846,1.9990016911820364e6,1.812063481756106e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,196.70966110483042,316.7096611048304,158464.15746789676,160245.31407131636,1.939416171964996e6,1.744959311239034e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,199.69011051550967,319.6901105155097,165151.73280606777,166867.14176287965,1.8803577013391112e6,1.6779952516143918e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,202.67055992618893,322.67055992618896,172106.70443051882,173756.68486311036,1.8218802229689704e6,1.6111872367202193e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,205.65100933686819,325.6510093368682,179344.85121576072,180929.75402735965,1.7640444865513886e6,1.5445576851229966e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,208.6314587475474,328.6314587475474,186883.8298165215,188404.07167191172,1.706918605873803e6,1.4781257770343423e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,211.61190815822667,331.6119081582267,194743.5937037564,196231.28029939887,1.6821631835443857e6,1.443499242936924e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,214.59235756890592,334.5923575689059,202946.78047566686,204439.47374290245,1.6953729100587866e6,1.446107826717466e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,217.57280697958518,337.57280697958515,211519.25313141794,213017.83280710937,1.7098301347418965e6,1.4491427511120588e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,220.5532563902644,340.55325639026444,220490.70302973824,221996.2171648094,1.7257377269186864e6,1.4526764315374643e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,223.53370580094366,343.53370580094366,229895.32911326268,231409.03970809645,1.7433349014474624e6,1.4568016255866438e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,226.51415521162292,346.5141552116229,239772.66555912522,241296.06391938374,1.7629024629391255e6,1.4616244730307013e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,229.49460462230218,349.4946046223022,250168.41724270524,251724.1295412354,1.80558620129018e6,1.488068980221048e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,232.4750540329814,352.4750540329814,261135.47107936462,262738.0875355543,1.8634591780379473e6,1.527841726771295e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,235.45550344366066,355.45550344366063,272734.85339233396,274387.2612921332,1.9248454961671694e6,1.56895060721007e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,238.43595285433992,358.4359528543399,285036.8076070358,286742.44839105644,1.9903803708992605e6,1.6116386168473512e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,241.41640226501917,361.4164022650192,298121.7435821888,299884.7201401664,2.0607972851501857e6,1.6561904138622582e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,244.3968516756984,364.3968516756984,312081.1615956607,313906.31885556184,2.13693528842045e6,1.702929146654293e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,247.37730108637766,367.37730108637766,327018.33745664847,328918.44105234346,2.2267185848909407e6,1.7591735062263906e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,250.3577504970569,370.35775049705694,343048.7535170454,345032.30459651194,2.3261914593905085e6,1.820212996021539e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
