t,ymin_case,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
233.6,ymin_zero,optimal_fallow,89493.66472267194,89301.13394976435,224.4650940063422,0.0,2.999751026395064,12.233032047912927,-9.233281021517863
235.425,ymin_zero,optimal_fallow,89504.56682335808,89307.24280755302,223.2107785427296,0.0,3.574302722294835,12.23386887774699,-8.659566155452156
237.25,ymin_zero,optimal_fallow,89515.57436241828,89313.7659100212,221.91890396020577,0.0,3.574302722294835,12.234762453427564,-8.660459731132729
239.075,ymin_zero,optimal_fallow,89526.58700903029,89320.3414326098,220.61811659092385,0.0,3.785811053656838,12.23566320994655,-8.449852156289712
240.9,ymin_zero,optimal_fallow,89537.63215824471,89327.25053778272,219.26061148772664,0.0,3.785811053656838,12.236609662709963,-8.450798609053125
242.725,ymin_zero,optimal_fallow,89548.67730745913,89334.15964295564,217.90310638452945,0.0,3.785811053656838,12.237556115473376,-8.451745061816538
244.55,ymin_zero,optimal_fallow,89559.79550014557,89340.28548071746,216.64335821114844,0.0,3.1420296198668676,12.23839527133116,-9.096365651464293
246.375,ymin_zero,optimal_fallow,89570.950214568,89346.01968477371,215.43248850267554,0.0,3.1420296198668676,12.239180778736126,-9.097151158869258
248.2,ymin_zero,optimal_fallow,89582.20568544145,89350.16171192203,214.45872208096802,0.0,-1.27462550145502,12.239748179715349,-13.514373681170369
250.025,ymin_zero,optimal_fallow,89593.8704793972,89347.83552038188,214.44818776174475,0.0,-1.27462550145502,12.239429523339984,-13.514055024795004
251.85,ymin_zero,optimal_fallow,89605.53527335293,89345.50932884173,214.43765344252148,0.0,-1.27462550145502,12.239110866964621,-13.513736368419641
253.675,ymin_zero,optimal_fallow,89617.77689952336,89346.72853362981,214.2335410051217,0.0,1.3924476593309019,12.239277881319154,-10.846830221988252
255.5,ymin_zero,optimal_fallow,89630.23361567214,89349.26975060809,213.95724689653747,0.0,1.3924476593309019,12.239625993233986,-10.847178333903084
257.325,ymin_zero,optimal_fallow,89642.8425855095,89353.48850790322,213.45449927079514,0.0,4.937934043296298,12.240203905192224,-7.302269861895926
259.15,ymin_zero,optimal_fallow,89655.8865658856,89362.50023753224,212.30474159602957,0.0,4.937934043296298,12.241438388703047,-7.303504345406749
260.975,ymin_zero,optimal_fallow,89668.93054626169,89371.51196716126,211.154983921264,0.0,4.937934043296298,12.242672872213873,-7.304738828917575
262.8,ymin_zero,optimal_fallow,89682.00557234675,89379.41315064962,210.2266700530759,0.0,4.167777901234448,12.243755226116388,-8.07597732488194
264.625,ymin_zero,optimal_fallow,89695.08884494827,89387.01934531938,209.35717719600993,0.0,4.167777901234448,12.244797170591697,-8.07701926935725
266.45,ymin_zero,optimal_fallow,89708.18942410508,89395.13714568847,208.4033633112714,0.0,5.041119558686083,12.245909198039518,-7.204789639353435
268.275,ymin_zero,optimal_fallow,89721.32661328268,89404.33718888306,207.2711780218409,0.0,5.041119558686083,12.247169477929187,-7.206049919243104
270.1,ymin_zero,optimal_fallow,89734.46380246028,89413.53723207767,206.1389927324104,0.0,5.041119558686083,12.24842975781886,-7.207310199132777
271.925,ymin_zero,optimal_fallow,89747.6471030049,89420.04502742422,205.59291902138798,0.0,3.3093579887636513,12.249321236633456,-8.939963247869805
273.75,ymin_zero,optimal_fallow,89760.8384229177,89426.0846057537,205.1487777587844,0.0,3.3093579887636513,12.250148576130645,-8.940790587366994
275.575,ymin_zero,optimal_fallow,89774.04780523053,89433.49509044357,204.45533852259422,0.0,5.2721227291847,12.251163711019668,-6.979040981834968
277.4,ymin_zero,optimal_fallow,89787.28632044663,89443.11671442432,203.3598057806192,0.0,5.2721227291847,12.252481741701963,-6.980359012517264
279.225,ymin_zero,optimal_fallow,89800.52483566274,89452.73833840509,202.26427303864418,0.0,5.2721227291847,12.25379977238426,-6.981677043199561
281.05,ymin_zero,optimal_fallow,89813.61955432499,89461.22067242494,201.40170520048048,0.0,4.588801834454647,12.254961735948623,-7.666159901493976
282.875,ymin_zero,optimal_fallow,89826.70067061055,89469.59523577282,200.5611745829476,0.0,4.588801834454647,12.256108936407237,-7.6673071019525905
284.7,ymin_zero,optimal_fallow,89839.64665212143,89476.78455439062,199.9851256055381,0.0,3.1275412083157277,12.257093774574058,-9.12955256625833
286.525,ymin_zero,optimal_fallow,89852.423715164,89482.49231709579,199.7396786782828,0.0,3.1275412083157277,12.257875659876138,-9.13033445156041
288.35,ymin_zero,optimal_fallow,89865.20077820656,89488.20007980097,199.49423175102748,0.0,3.1275412083157277,12.258657545178217,-9.131116336862489
290.175,ymin_zero,optimal_fallow,89877.96077782022,89495.43420038075,199.0610579497187,0.0,3.9850753705747612,12.259648520600106,-8.274573150025343
292.0,ymin_zero,optimal_fallow,89890.72034544835,89502.70696293205,198.62313156931995,0.0,3.9850753705747612,12.260644789442747,-8.275569418867985
293.825,ymin_zero,optimal_fallow,89903.47721482164,89511.25481150117,197.91439711906676,0.0,5.365389001625982,12.261815727602903,-6.89642672597692
295.65,ymin_zero,optimal_fallow,89916.23145175118,89521.04664642914,196.9414596738336,0.0,5.365389001625982,12.263157074853309,-6.8977680732273265
297.475,ymin_zero,optimal_fallow,89928.96816013861,89530.73494795123,195.9989195446882,0.0,3.8336619010183535,12.264484239445377,-8.430822338427024
299.3,ymin_zero,optimal_fallow,89941.24912643102,89537.7313809206,195.84670963382337,0.0,3.8336619010183535,12.265442654920632,-8.431780753902277
301.125,ymin_zero,optimal_fallow,89953.53009272342,89544.72781388994,195.69449972295854,0.0,3.8336619010183535,12.266401070395885,-8.43273916937753
302.95,ymin_zero,optimal_fallow,89965.65967161361,89551.99508332583,195.59134024783452,0.0,4.094981183785556,12.267396586756965,-8.172415402971408
304.775,ymin_zero,optimal_fallow,89977.67406443691,89559.46842398624,195.52550175642634,0.0,4.094981183785556,12.26842033205291,-8.173439148267354
306.6,ymin_zero,optimal_fallow,89989.66058785068,89567.1356167934,195.38631469944315,0.0,5.1704622719021405,12.269470632437454,-7.099008360535313
308.425,ymin_zero,optimal_fallow,90001.39280290241,89576.57171043962,194.57782198158804,0.0,5.1704622719021405,12.270763248005428,-7.100300976103288
310.25,ymin_zero,optimal_fallow,90013.12501795415,89586.00780408584,193.7693292637329,0.0,5.1704622719021405,12.272055863573403,-7.1015935916712625
312.075,ymin_zero,optimal_fallow,90024.5230705966,89593.7810059091,194.0141806715441,0.0,3.723304198743103,12.273120685740974,-8.549816486997871
313.9,ymin_zero,optimal_fallow,90035.72455711591,89600.57603607181,194.8786462709237,0.0,3.723304198743103,12.274051511790661,-8.550747313047559
315.725,ymin_zero,optimal_fallow,90046.86156569963,89607.70929269114,195.60840823465733,0.0,4.8780499515877915,12.275028670231665,-7.396978718643873
317.55,ymin_zero,optimal_fallow,90057.66130508171,89616.61173385278,195.63356656578125,0.0,4.8780499515877915,12.276248182719561,-7.3981982311317696
