node,fallow,V_at_node,tau_at_node,d_at_node,t0_at_node
49.5679012345679,no_fallow,64448.30316265061,311.680193810518,0.0,49.5679012345679
54.074074074074076,no_fallow,64437.4016529962,310.7664797361309,0.0,54.074074074074076
58.58024691358025,no_fallow,64408.25041733669,309.9027305262624,0.0,58.58024691358025
63.08641975308642,no_fallow,64358.68046914662,308.7760085005011,0.0,63.08641975308642
67.5925925925926,no_fallow,64288.69714975752,307.4461509150006,0.0,67.5925925925926
72.09876543209876,no_fallow,64200.619135148874,305.9358809705129,0.0,72.09876543209876
76.60493827160494,no_fallow,64098.59534930429,304.2336557405206,0.0,76.60493827160494
81.11111111111111,no_fallow,63988.19954709584,302.3543907858982,0.0,81.11111111111111
85.61728395061728,no_fallow,63875.06926309025,300.30180976377557,0.0,85.61728395061728
90.12345679012346,no_fallow,63764.662321691765,298.18148373908696,0.0,90.12345679012346
94.62962962962963,no_fallow,63661.34917350256,295.7877280806266,0.0,94.62962962962963
99.1358024691358,no_fallow,63566.80853449703,293.19869874306266,0.0,99.1358024691358
103.64197530864197,no_fallow,63482.27609251825,290.5145430143527,0.0,103.64197530864197
108.14814814814815,no_fallow,63408.56821784962,287.7032322947561,0.0,108.14814814814815
112.65432098765432,no_fallow,63345.27621399607,284.70098317184437,0.0,112.65432098765432
117.1604938271605,no_fallow,63291.82485552347,281.6695940526438,0.0,117.1604938271605
121.66666666666667,no_fallow,63247.66403108376,278.5458797535135,0.0,121.66666666666667
126.17283950617283,no_fallow,63211.738943352895,275.2184491103973,0.0,126.17283950617283
130.679012345679,no_fallow,63182.786135121605,271.9381086668494,0.0,130.679012345679
135.1851851851852,no_fallow,63160.4166404211,268.5947755459247,0.0,135.1851851851852
139.69135802469137,no_fallow,63143.86688978163,265.19599946970516,0.0,139.69135802469137
144.19753086419752,no_fallow,63132.18742583931,261.558467368856,0.0,144.19753086419752
148.7037037037037,no_fallow,63124.37912987786,258.0673755060781,0.0,148.7037037037037
153.20987654320987,no_fallow,63120.50517943618,254.53951616122424,0.0,153.20987654320987
157.71604938271605,no_fallow,63119.98860565433,250.9817273034472,0.0,157.71604938271605
162.22222222222223,no_fallow,63122.57061925951,247.39828482743377,0.0,162.22222222222223
166.7283950617284,no_fallow,63127.57543992945,243.49874741769804,0.0,166.7283950617284
171.23456790123456,no_fallow,63134.45843374175,239.86797938959418,0.0,171.23456790123456
175.74074074074073,no_fallow,63143.545013080686,236.2220332293701,0.0,175.74074074074073
180.2469135802469,no_fallow,63154.62216221598,232.56202407640424,0.0,180.2469135802469
184.7530864197531,no_fallow,63167.33517462123,228.88940879207857,0.0,184.7530864197531
189.25925925925927,no_fallow,63181.722476474475,225.206092186527,0.0,189.25925925925927
193.76543209876544,no_fallow,63197.436601073685,221.0891969699144,0.0,193.76543209876544
198.2716049382716,no_fallow,63214.17407173866,217.37922749525524,0.0,198.2716049382716
202.77777777777777,no_fallow,63232.28105456877,213.66142652134812,0.0,202.77777777777777
207.28395061728395,no_fallow,63251.58706663368,209.93491284240662,0.0,207.28395061728395
211.79012345679013,no_fallow,63271.94125507235,206.2007811877437,0.0,211.79012345679013
216.2962962962963,no_fallow,63293.491252148626,202.45915879865942,0.0,216.2962962962963
220.80246913580248,no_fallow,63316.020721901354,198.2716049382716,0.0,220.80246913580248
225.30864197530863,no_fallow,63339.15224528112,194.354193897834,0.0,225.30864197530863
229.8148148148148,no_fallow,63363.05360681494,190.5801687800226,0.0,229.8148148148148
234.320987654321,no_fallow,63387.6363671336,186.80128614949584,0.0,234.320987654321
238.82716049382717,no_fallow,63413.04420386448,183.01715587722722,0.0,238.82716049382717
243.33333333333334,no_fallow,63439.270599277705,179.23081346194525,0.0,243.33333333333334
247.8395061728395,no_fallow,63466.178432528846,175.44317980445794,0.0,247.8395061728395
252.34567901234567,no_fallow,63493.46708299006,171.23456790123458,0.0,252.34567901234567
256.85185185185185,no_fallow,63520.87622102683,167.0897523416549,0.0,256.85185185185185
261.358024691358,no_fallow,63548.701559958674,163.30224263514066,0.0,261.358024691358
265.8641975308642,no_fallow,63576.872638808505,159.52664742445967,0.0,265.8641975308642
270.3703703703704,no_fallow,63605.26519720387,155.76747001299725,0.0,270.3703703703704
274.87654320987656,no_fallow,63633.76984266364,152.03044690448314,0.0,274.87654320987656
279.38271604938274,no_fallow,63662.61529497833,148.32526850412648,0.0,279.38271604938274
283.8888888888889,no_fallow,63691.5007395212,144.19753086419752,0.0,283.8888888888889
288.39506172839504,no_fallow,63720.004975665324,140.10003514741442,0.0,288.39506172839504
292.9012345679012,no_fallow,63748.225680421754,136.51588175199294,0.0,292.9012345679012
297.4074074074074,no_fallow,63776.271727943604,133.00375642867675,0.0,297.4074074074074
301.91358024691357,no_fallow,63804.1212231982,129.57895044327523,0.0,301.91358024691357
306.41975308641975,no_fallow,63831.67209702778,126.1728395061728,0.0,306.41975308641975
310.9259259259259,no_fallow,63858.63319836348,122.08812702600898,0.0,310.9259259259259
315.4320987654321,no_fallow,63884.76971026028,119.02443483587916,0.0,315.4320987654321
319.9382716049383,no_fallow,63910.502366955894,116.15416714507637,0.0,319.9382716049383
324.44444444444446,no_fallow,63935.57267668199,112.65432098765433,0.0,324.44444444444446
328.95061728395063,no_fallow,63959.58257586589,110.23164236065782,0.0,328.95061728395063
333.4567901234568,no_fallow,63982.97096358362,108.1481481481481,0.0,333.4567901234568
337.962962962963,no_fallow,64005.653996418674,105.88895727252401,0.0,337.962962962963
342.4691358024691,no_fallow,64027.80586916598,104.47378652456314,0.0,342.4691358024691
346.9753086419753,no_fallow,64049.49445210902,104.14515831311195,0.0,346.9753086419753
351.48148148148147,no_fallow,64071.14444746119,105.0986288955213,0.0,351.48148148148147
355.98765432098764,no_fallow,64093.485033528064,108.89497615858426,0.0,355.98765432098764
360.4938271604938,no_fallow,64117.710018221944,117.90277821037807,0.0,360.4938271604938
