t,scenario,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
352.225,baseline,no_fallow,107328.54351668643,107366.09848347801,306.24463323334896,0.0,0.3432785028820592,14.707684723764112,-14.364406220882053
354.05,baseline,no_fallow,107327.01469309207,107366.72496674577,307.02555994321415,0.0,0.3432785028820592,14.707770543389833,-14.364492040507773
355.875,baseline,no_fallow,107325.48586949772,107367.35145001352,307.8064866530794,0.0,0.3432785028820592,14.707856363015553,-14.364577860133494
357.7,baseline,no_fallow,107323.3860533659,107367.41482919983,309.0217608952868,0.0,0.014428967206893562,14.707865045095868,-14.693436077888975
359.525,baseline,no_fallow,107321.24867193555,107367.44116206498,310.26561063304297,0.0,0.014428967206893562,14.70786865233767,-14.693439685130777
361.35,baseline,no_fallow,107318.74803827802,107366.99994710511,311.7820987654321,0.0,-0.5316614989365114,14.707808211932209,-15.23946971086872
363.175,baseline,no_fallow,107315.83635604758,107366.02966486955,313.60709876543206,0.0,-0.5316614989365114,14.707675296557474,-15.239336795493985
0.0,medium_risk,optimal_fallow,90129.07468423476,90052.92320093825,262.7091594495411,9.012345679012345,12.367648831910525,12.370225080217315,-0.002576248306789708
1.825,medium_risk,optimal_fallow,90151.61380455439,90114.07975929222,274.93694987247693,7.187345679012345,12.367648831910525,12.370225080217315,-0.002576248306789708
3.65,medium_risk,optimal_fallow,90174.15292487401,90175.23631764617,287.16474029541274,5.3623456790123445,12.367648831910525,12.370225080217315,-0.002576248306789708
5.475,medium_risk,optimal_fallow,90200.48340843059,90225.15099665083,296.7765432098765,3.5373456790123443,12.367648831910525,12.370225080217315,-0.002576248306789708
7.3,medium_risk,optimal_fallow,90230.16439903376,90265.13099157937,304.0765432098765,1.7123456790123446,12.367648831910525,12.370225080217315,-0.002576248306789708
9.125,medium_risk,optimal_fallow,90258.44391774439,90304.03635466775,311.1217801524718,0.0,12.367648831910525,12.370415938995585,-0.0027671070850594504
10.95,medium_risk,optimal_fallow,90265.42106368822,90326.607313786,314.2946186225151,0.0,12.367648831910525,12.373507851203563,-0.0058590192930374485
12.775,medium_risk,optimal_fallow,90272.39820963207,90349.17827290423,317.46745709255833,0.0,12.367648831910525,12.37659976341154,-0.008950931501015447
14.6,medium_risk,optimal_fallow,90278.72855712338,90366.20572947638,319.04285737588367,0.0,7.241807436549957,12.378932291709095,-5.137124855159138
16.425,medium_risk,optimal_fallow,90284.61423067859,90379.42202804808,319.5200189058404,0.0,7.241807436549957,12.380742743568232,-5.138935307018276
18.25,medium_risk,optimal_fallow,90290.3089450571,90392.40606018892,320.02553555083495,0.0,6.210926291371984,12.382521378108073,-6.171595086736089
20.075,medium_risk,optimal_fallow,90294.64784928109,90403.74100067068,320.7323735125978,0.0,6.210926291371984,12.384074109680917,-6.173147818308933
21.9,medium_risk,optimal_fallow,90298.98675350509,90415.07594115243,321.43921147436066,0.0,6.210926291371984,12.38562684125376,-6.174700549881776
23.725,medium_risk,optimal_fallow,90302.0610666697,90424.29326694953,321.85445666430627,0.0,4.437581349968907,12.386889488623225,-7.9493081386543185
25.55,medium_risk,optimal_fallow,90304.46729399166,90432.39185291322,322.1156528427258,0.0,4.437581349968907,12.387998883960718,-7.950417533991811
27.375,medium_risk,optimal_fallow,90306.39299248297,90439.67681670883,322.1492137769598,0.0,2.0301513731785445,12.388996824206691,-10.358845451028147
29.2,medium_risk,optimal_fallow,90306.20436411953,90443.38184296488,321.1811796367774,0.0,2.0301513731785445,12.389504362049985,-10.359352988871441
31.025,medium_risk,optimal_fallow,90306.01573575608,90447.08686922093,320.21314549659496,0.0,2.0301513731785445,12.39001189989328,-10.359860526714735
32.85,medium_risk,optimal_fallow,90301.81892264928,90446.08819230521,318.63148148148144,0.0,-1.5692813799064296,12.38987509483633,-13.95915647474276
34.675,medium_risk,optimal_fallow,90296.03265697185,90443.22425378687,316.80648148148146,0.0,-1.5692813799064296,12.389482774491354,-13.958764154397784
36.5,medium_risk,optimal_fallow,90287.73026589671,90440.46983883469,317.2345679012345,0.0,-1.3262290824580227,12.389105457374617,-13.71533453983264
38.325,medium_risk,optimal_fallow,90271.75369235859,90438.0494707592,324.53456790123454,0.0,-1.3262290824580227,12.388773900104002,-13.715002982562025
40.15,medium_risk,optimal_fallow,90255.77711882045,90435.62910268371,331.83456790123455,0.0,-1.3262290824580227,12.388442342833388,-13.71467142529141
