t,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
312.075,optimal_fallow,58902.72438563885,58554.24484580632,386.3817901234567,0.0,7.920738862003773,8.021129430932374,-0.1003905689286011
313.9,optimal_fallow,58917.356741046045,58568.70019422948,384.5567901234567,0.0,7.920738862003773,8.023109615647876,-0.10237075364410231
315.725,optimal_fallow,58931.995708302624,58583.140208476165,382.7317901234567,0.0,7.868386141464268,8.025087699791257,-0.15670155832698907
317.55,optimal_fallow,58946.66926061747,58597.50001318433,380.9067901234567,0.0,7.868386141464268,8.027054796326622,-0.15866865486235415
319.375,optimal_fallow,58961.342812932315,58611.8598178925,379.0817901234567,0.0,7.868386141464268,8.029021892861987,-0.16063575139771924
321.2,optimal_fallow,58975.51983146661,58626.14282643265,377.2567901234567,2.52345679012341,7.807520294007685,8.03367736527844,-0.22615707127075435
323.025,optimal_fallow,58989.47518313459,58640.391550969216,375.4317901234567,6.1734567901233754,8.73454274570986,8.039896820531597,0.6946459251782624
324.85,optimal_fallow,59001.68233884372,58654.858624231434,374.2707491033294,8.60679012345676,8.73454274570986,8.044991970466596,0.6895507752432639
326.675,optimal_fallow,59007.77080869685,58670.08991803345,375.4335645127568,6.781790123456771,8.73454274570986,8.044991970466596,0.6895507752432639
328.5,optimal_fallow,59013.85927854998,58685.32121183547,376.5963799221842,4.956790123456783,8.73454274570986,8.044991970466596,0.6895507752432639
330.325,optimal_fallow,59026.47784620497,58701.086629702215,375.700663533806,3.1317901234568035,5.8423849694070755,8.044991970466596,-2.20260700105952
332.15,optimal_fallow,59041.23742953271,58717.027170213136,374.13001868713087,1.3067901234568269,5.8423849694070755,8.044991970466596,-2.20260700105952
333.975,optimal_fallow,59049.75958530335,58731.468965999855,371.5665332050264,10.364197530864187,8.583021613552718,8.057903647499101,0.5251179660536174
335.8,optimal_fallow,59042.552575930014,58742.13131856902,366.49936264227426,46.864197530863905,8.796021339766867,8.102162500814218,0.6938588389526483
337.625,optimal_fallow,59035.34556655667,58752.79367113819,361.4321920795221,83.36419753086362,12.812085531342303,8.167988368677891,4.644097162664412
339.45,optimal_fallow,59046.04009418465,58771.887810533335,362.1011004135842,88.63641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
341.275,optimal_fallow,59060.80315294929,58792.89826511621,364.07366304237706,86.81141975308643,9.3855360790781,8.178329408961595,1.2072066701165056
343.1,optimal_fallow,59075.56936285898,58812.06056755256,364.8375247462063,84.98641975308638,9.3855360790781,8.178329408961595,1.2072066701165056
344.925,optimal_fallow,59090.34153743609,58827.724581997296,363.3134882706404,83.16141975308639,9.3855360790781,8.178329408961595,1.2072066701165056
346.75,optimal_fallow,59105.1137120132,58843.388596442026,361.78945179507446,81.3364197530864,9.3855360790781,8.178329408961595,1.2072066701165056
348.575,optimal_fallow,59119.89388192771,58858.93347044417,360.2822432854879,79.51141975308641,9.3855360790781,8.178329408961595,1.2072066701165056
350.4,optimal_fallow,59134.675177946076,58874.46156410229,358.7774049119547,77.68641975308643,9.3855360790781,8.178329408961595,1.2072066701165056
352.225,optimal_fallow,59149.46019240179,58889.92568355664,357.2807098097329,75.86141975308638,9.3855360790781,8.178329408961595,1.2072066701165056
354.05,optimal_fallow,59164.250615493664,58905.296749623696,355.79585946578214,74.03641975308639,9.3855360790781,8.178329408961595,1.2072066701165056
355.875,optimal_fallow,59179.041038585536,58920.66781569075,354.31100912183143,72.2114197530864,9.3855360790781,8.178329408961595,1.2072066701165056
357.7,optimal_fallow,59193.84003063917,58935.90264815089,352.8479972882324,70.38641975308641,9.3855360790781,8.178329408961595,1.2072066701165056
359.525,optimal_fallow,59208.63958644029,58951.12851787374,351.38642219873554,68.56141975308643,9.3855360790781,8.178329408961595,1.2072066701165056
361.35,optimal_fallow,59223.44338755582,58966.30490283262,349.9372216541187,66.73641975308638,9.3855360790781,8.178329408961595,1.2072066701165056
363.175,optimal_fallow,59238.25199257976,58981.42529187437,348.50202388397145,64.91141975308639,9.3855360790781,8.178329408961595,1.2072066701165056
0.0,no_fallow,57630.25343031589,57389.03894090918,346.9736109420337,0.0,8.04775903459811,7.86151218368619,0.18624685091192017
1.825,no_fallow,57645.23958984195,57403.726101147324,345.558875586197,0.0,8.04775903459811,7.86352412344484,0.18423491115327018
3.65,no_fallow,57660.225749368,57418.41326138546,344.1441402303604,0.0,8.04775903459811,7.865536063203488,0.18222297139462196
5.475,no_fallow,57675.4864387988,57433.201291341786,342.7486314305873,0.0,8.151874321923502,7.867561820731752,0.2843125011917502
