t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
93.075,106726.91585355782,106739.98967456793,323.3497041287856,0.0,107205.81924121019,107216.85146339315,323.2954438131416,0.0,112652.29894131787,112666.67793587658,323.6541760633449,0.0,1.350409856138987e8
94.9,106713.56242553945,106724.73938552645,322.9242052234662,0.0,107192.53016740132,107201.60403468375,322.8791393295523,0.0,112637.71332370846,112656.43761788419,322.8078237230818,0.0,1.3502038725003347e8
96.725,106700.2089975211,106709.48909648498,322.49870631814673,0.0,107179.24109359246,107186.35660597436,322.4628348459629,0.0,112623.12770609904,112646.1972998918,321.9614713828188,0.0,1.3499978888616824e8
98.55,106686.85556950273,106694.2388074435,322.0732074128273,0.0,107165.95201978358,107171.10917726497,322.0465303623735,0.0,112608.54208848962,112635.95698189942,321.1151190425557,0.0,1.3497919052230304e8
100.375,106673.50214148436,106678.98851840202,321.6477085075079,0.0,107152.6629459747,107155.86174855557,321.63022587878413,0.0,112593.9564708802,112625.71666390703,320.2687667022926,0.0,1.3495859215843782e8
102.2,106660.14871346601,106663.73822936055,321.22220960218846,0.0,107139.37387216584,107140.61431984618,321.21392139519475,0.0,112579.37085327078,112615.47634591465,319.42241436202954,0.0,1.349379937945726e8
104.025,106646.79528544765,106648.48794031907,320.796710696869,0.0,107126.08479835697,107125.36689113677,320.7976169116054,0.0,112564.78523566136,112605.23602792226,318.57606202176646,0.0,1.349173954307074e8
105.85,106636.13985581926,106635.96930844033,320.2995695435908,0.0,107115.54147095414,107112.9253059678,320.31449724940154,0.0,112556.07952256253,112589.23338551246,318.579527589088,0.0,1.3490030246899506e8
107.675,106625.9340925892,106623.90595275536,319.7904880156527,0.0,107105.4557679523,107100.9513613889,319.82024172409524,0.0,112548.3537935488,112572.27035569976,318.72462947434025,0.0,1.348837937409749e8
109.5,106615.72832935915,106611.8425970704,319.28140648771466,0.0,107095.37006495046,107088.97741681,319.325986198789,0.0,112540.62806453506,112555.30732588706,318.8697313595925,0.0,1.348672850129547e8
111.325,106605.52256612909,106599.77924138543,318.77232495977654,0.0,107085.28436194864,107077.0034722311,318.83173067348275,0.0,112532.90233552133,112538.34429607436,319.0148332448448,0.0,1.3485077628493455e8
113.15,106595.31680289903,106587.71588570047,318.2632434318385,0.0,107075.1986589468,107065.0295276522,318.33747514817645,0.0,112525.17660650761,112521.38126626164,319.15993513009704,0.0,1.348342675569144e8
114.975,106585.11103966898,106575.6525300155,317.7541619039004,0.0,107065.11295594496,107053.05558307329,317.8432196228702,0.0,112517.45087749387,112504.41823644894,319.30503701534934,0.0,1.348177588288942e8
