t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
147.825,0.1,0.0,86163.65913394559,86198.42942537088,284.53781891129404,0.0,1.154520536922759e8,-23.563286403183923
149.65,0.1,0.0,86151.11078706551,86176.97603504141,284.29749643881905,0.0,1.1544323378147689e8,-23.560347582590847
151.475,0.1,0.0,86138.8969680534,86155.9775134658,284.01277064949414,0.0,1.1543423301284322e8,-20.151147984556417
153.3,0.1,0.0,86130.9205020357,86140.74066277234,283.16560284673665,0.0,1.1542294137830377e8,-20.149060744735394
155.125,0.1,0.0,86122.944036018,86125.5038120789,282.31843504397915,0.0,1.1541164974376433e8,-20.146973504914374
156.95,0.1,0.0,86114.9675700003,86110.26696138545,281.47126724122165,0.0,1.1540035810922489e8,-20.144886265093355
158.775,0.1,0.0,86106.9911039826,86095.030110692,280.6240994384642,0.0,1.1538906647468543e8,-20.142799025272332
160.6,0.1,0.0,86099.81969729604,86080.37528126247,279.7960359573183,0.0,1.1537927876913697e8,-18.506348239000115
162.425,0.1,0.0,86095.96916035053,86068.12128954662,279.04677780282,0.0,1.1537569477067631e8,-18.504669609997944
164.25,0.1,0.0,86092.11862340503,86055.86729783076,278.29751964832167,0.0,1.1537211077221565e8,-18.50299098099577
166.075,0.1,0.0,86088.26808645952,86043.61330611489,277.54826149382336,0.0,1.15368526773755e8,-18.501312351993597
167.9,0.1,0.0,86084.41754951401,86031.35931439903,276.79900333932505,0.0,1.1536494277529433e8,-18.499633722991423
169.725,0.1,0.0,86081.43686896814,86018.33270000467,276.1829879082322,0.0,1.153643613859844e8,-19.83304545415293
171.55,0.1,0.0,86080.32972528302,86003.64197522584,275.85395680447414,0.0,1.1537024715484528e8,-19.831033026101036
173.375,0.1,0.0,86079.2225815979,85988.95125044702,275.52492570071604,0.0,1.1537613292370614e8,-19.82902059804914
175.2,0.1,0.0,86078.11543791277,85974.26052566819,275.19589459695794,0.0,1.15382018692567e8,-19.82700816999725
177.025,0.1,0.0,86077.00829422765,85959.56980088935,274.86686349319984,0.0,1.1538790446142788e8,-19.82499574194535
178.85,0.1,0.0,86077.24770563033,85947.13048887186,274.4015535046209,0.0,1.153940385707955e8,-17.01330928476008
180.675,0.1,0.0,86079.20771520074,85937.5679820494,273.7621093854374,0.0,1.1540049000414398e8,-17.011999352318647
182.5,0.1,0.0,86081.16772477113,85928.00547522692,273.1226652662539,0.0,1.1540694143749246e8,-17.01068941987721
184.325,0.1,0.0,86083.12773434154,85918.44296840444,272.4832211470704,0.0,1.1541339287084095e8,-17.009379487435776
186.15,0.1,0.0,86085.08774391195,85908.88046158198,271.8437770278869,0.0,1.1541984430418943e8,-17.008069554994343
187.975,0.1,0.0,86088.32438878351,85900.22652956504,271.22149781577855,0.0,1.1542836664282066e8,-16.119413756646885
189.8,0.1,0.0,86092.56013954293,85892.28365609155,270.6126520092071,0.0,1.1543850968993402e8,-16.118325691787504
191.625,0.1,0.0,86096.79589030235,85884.34078261806,270.0038062026357,0.0,1.1544865273704739e8,-16.117237626928123
193.45,0.1,0.0,86101.03164106177,85876.39790914457,269.39496039606433,0.0,1.1545879578416076e8,-16.11614956206874
195.275,0.1,0.0,86105.26739182118,85868.45503567108,268.7861145894929,0.0,1.1546893883127412e8,-16.115061497209357
197.1,0.1,0.0,86110.63847177655,85861.99538736018,268.1254065277103,0.0,1.1548004226160558e8,-14.924113371886454
198.925,0.1,0.0,86116.5366688586,85856.22437930333,267.4406195617225,0.0,1.1549159158414541e8,-14.923322822837571
200.75,0.1,0.0,86122.43486594064,85850.45337124646,266.75583259573466,0.0,1.1550314090668525e8,-14.922532273788685
