t,k,m,lambda,k_baseline,m_baseline,lambda_baseline
214,0.0019799335320496575,0.00026726555835196843,5.1471361303521216e-5,0.002516588226787676,0.00016557922625377075,3.532840868719133e-5
215,0.001967526295166455,0.0002660363343414951,5.0079513919868974e-5,0.002508638222271119,0.0001652430242663159,3.478192042283038e-5
216,0.001955219293294424,0.00026481845123051183,4.8739227227404944e-5,0.0025010590799270822,0.0001649168336454637,3.426390549709477e-5
217,0.001943015615344873,0.0002636121894673211,4.744883635623954e-5,0.0024938498226892663,0.00016460069413704235,3.377348884128761e-5
218,0.0019309187063300392,0.0002624178528175985,4.620674990254376e-5,0.0024870095081585756,0.00016429464378525687,3.3309844090484184e-5
219,0.0019189323532412662,0.00026123576767539625,4.501144619715544e-5,0.0024805372304299625,0.00016399871897277026,3.287219193703728e-5
220,0.0019070606707857235,0.0002600662823579249,4.3861469859128946e-5,0.002474432121818392,0.000163712954459801,3.245979857033203e-5
221,0.0018953080870362283,0.0002589097663866018,4.275542861785692e-5,0.002468693354485204,0.00016343738342220992,3.207197420101844e-5
222,0.0018836793290497552,0.0002577666097569008,4.169199038833854e-5,0.0024633201419660858,0.00016317203748853179,3.17080716679765e-5
223,0.0018721794085111013,0.00025663722219956516,4.066988058507134e-5,0.002458311740601881,0.00016291694677592546,3.136748512630428e-5
224,0.00186081360745851,0.0002555220324357602,3.9687879660918984e-5,0.0024536674508733643,0.00016267213992500742,3.104964881466186e-5
225,0.0018495874641482693,0.0002544214874287322,3.874482085815444e-5,0.0024493866186410785,0.00016243764413353528,3.0754035900356964e-5
226,0.0018385067591149714,0.00025333605163455975,3.7839588159702245e-5,0.002445468636291261,0.00016221348518891915,3.0480157400616185e-5
227,0.001827577501483612,0.0002522662062545258,3.697111442940969e-5,0.002441912943788861,0.00016199968749952648,3.0227561178550752e-5
228,0.0018168059155887779,0.0002512124484916432,3.6138379730964594e-5,0.0024387190296385436,0.00016179627412475823,2.9995831012395737e-5
229,0.0018061984279550388,0.00025017529081379855,3.534040981585787e-5,0.0024358864317545292,0.00016160326680387093,2.9784585736678017e-5
230,0.0017957616546911154,0.0002491552602259373,3.4576274771551787e-5,0.002433414738240046,0.0001614206859835202,2.959347845404704e-5
231,0.0017855023893487386,0.00024815289755364314,3.3845087821777356e-5,0.0024313035880771197,0.00016124855084400302,2.9422195816587057e-5
232,0.0017754275912950455,0.00024716875674039764,3.314600427163635e-5,0.0024295526717273003,0.0001610868793241829,2.9270457375515685e-5
233,0.001765544374645207,0.00024620340416071034,3.2478220590935786e-5,0.002428161731643906,0.0001609356881450717,2.913801499826504e-5
234,0.0017558599977995182,0.0002452574179512355,3.18409736299291e-5,0.0024271305626962733,0.00016079499283205403,2.9024652352033e-5
235,0.0017463818536266414,0.0002443313873618631,3.123353996239209e-5,0.0024264590125063572,0.0001606648077357381,2.8930184452988656e-5
236,0.00173711746033189,0.00024342591212869548,3.0655235351710265e-5,0.0024261469816980836,0.00016054514605141378,2.8854457280411428e-5
237,0.0017280744530466217,0.00024254160187067676,3.010541433641519e-5,0.002426194424059603,0.0001604360198371062,2.8797347455143127e-5
238,0.0017192605761718255,0.0002416790755115348,2.958346993236788e-5,0.002426601346618678,0.00016033744003021252,2.8758761981831908e-5
239,0.0017106836765058986,0.00024083896072856831,2.9088833449563433e-5,0.0024273678096312134,0.00016024941646270357,2.8738638054547326e-5
240,0.0017023516971836229,0.0002400218934296634,2.8620974422312787e-5,0.0024284939264829605,0.00016017195787488867,2.873694292544849e-5
241,0.001694272672450103,0.00023922851725980898,2.8179400652358237e-5,0.002429979863504287,0.0001601050719277268,2.8753673836289918e-5
242,0.001686454723290415,0.0002384594831382173,2.7763658365294033e-5,0.002431825839697823,0.0001600487652136751,2.878885801265209e-5
243,0.0016789060539325713,0.0002377154488270323,2.7373332481499872e-5,0.002434032126378756,0.00016000304326607356,2.8842552720886844e-5
244,0.0016716349492383548,0.00023699707853243928,2.7008047003656358e-5,0.0024365990467274004,0.00015996791056705205,2.8914845387872242e-5
245,0.0016646497729936162,0.00023630504253886685,2.6667465523799644e-5,0.002439526975253644,0.00015994337055395713,2.9005853783772638e-5
246,0.0016579589671066887,0.00023564001687680186,2.635129185379549e-5,0.0024428163371727667,0.00015992942562429485,2.9115726268104333e-5
247,0.0016515710517207975,0.00023500268302460522,2.605927078407301e-5,0.002446467607692058,0.00015992607713918584,2.924464209950782e-5
248,0.0016454946262435914,0.0002343937276445531,2.5791188976462043e-5,0.0024504813112075667,0.00015993332542532863,2.939281180972914e-5
249,0.001639738371294428,0.00023381384235319935,2.554687599803485e-5,0.002454858020410285,0.00015995116977546978,2.956047764241386e-5
250,0.0016343110515675116,0.00023326372352598377,2.532620550396297e-5,0.0024595983553009288,0.00015997960844738555,2.974791405741491e-5
251,0.001629221519606748,0.00023274407213589023,2.512909657857883e-5,0.0024647029821125107,0.0001600186386613676,2.995542830141327e-5
252,0.0016244787204860052,0.0002322555936258016,2.495551524508365e-5,0.002470172612139699,0.0001600682565962217,3.0183361045746423e-5
253,0.0016200916973864562,0.00023179899781406016,2.4805476155677896e-5,0.00247600800047403,0.00016012845738377684,3.0432087092431207e-5
254,0.001616069598060828,0.00023137499883261036,2.467904447532061e-5,0.002482209944643904,0.00016019923510191458,3.07020161494606e-5
255,0.0016124216821726911,0.0002309843150969638,2.4576337973857834e-5,0.002488779283158231,0.00016028058276611626,3.099359367653868e-5
256,0.0016091573294973638,0.00023062766930708796,2.449752934291696e-5,0.002495716893952609,0.0001603724923195393,3.130730180250614e-5
257,0.0016062860489695662,0.00023030578847821407,2.444284875574723e-5,0.002503023692736793,0.00016047495462162973,3.1643660315785105e-5
258,0.0016038174885617215,0.00023001940400040234,2.4412586690122773e-5,0.002510700631242227,0.00016058795943527378,3.2003227729252155e-5
259,0.001601761445975623,0.00022976925172562068,2.4407097036523113e-5,0.0025187486953683466,0.00016071149541250482,3.238660242101746e-5
260,0.0016001278801291584,0.0002295560720809461,2.442680051609011e-5,0.00252716890322632,0.00016084555007877147,3.279442385265413e-5
261,0.0015989269234188235,0.00022938061020639843,2.4472188435344316e-5,0.0025359623030789193,0.00016099010981577677,3.3227373866482774e-5
262,0.001598168894737992,0.00022924361611580867,2.4543826807358007e-5,0.0025451299711750975,0.00016114515984290824,3.368617806356871e-5
263,0.001597864313230028,0.00022914584487900976,2.4642360872044275e-5,0.0025546730094779496,0.0001613106841972636,3.417160726413367e-5
264,0.0015980239127547189,0.0002290880568235444,2.476852005146061e-5,0.002564592543284631,0.00016148666571229358,3.4684479052122646e-5
265,0.0015986586570457865,0.0002290710177539756,2.4923123379571227e-5,0.0025748897187368508,0.00016167308599507625,3.522565940569187e-5
266,0.001599779755536586,0.00022909549918680015,2.5107085449795882e-5,0.0025855657002205627,0.0001618699254022368,3.5796064415403134e-5
267,0.0016013986798304992,0.00022916227859885483,2.532142292792887e-5,0.0025966216676534715,0.0001620771630145377,3.639666209191293e-5
268,0.0016035271807918092,0.00022927213968704186,2.5567261682679375e-5,0.0026080588136590077,0.00016229477661015404,3.702847426494016e-5
269,0.0016061773062321795,0.00022942587263707488,2.5845844591202776e-5,0.0026198783406254644,0.00016252274263665566,3.769257857527316e-5
270,0.001609361419167097,0.00022962427439888938,2.615854008261034e-5,0.0026320814576489735,0.00016276103618172275,3.839011056154157e-5
271,0.0016130922166157574,0.0002298681489662686,2.65068514886079e-5,0.0026446693773591397,0.00016300963094261338,3.912226584342577e-5
272,0.0016173827489169405,0.00023015830765813747,2.689242727717889e-5,0.0026576433126261033,0.00016326849919441207,3.9890302402904075e-5
273,0.0016222464395323208,0.0002304955693989187,2.7317072252651452e-5,0.0026710044731479304,0.00016353761175708355,4.0695542965049463e-5
274,0.0016276971053074143,0.00023088076099524483,2.778275981363613e-5,0.0026847540619173295,0.000163816937961362,4.153937747977056e-5
275,0.0016337489771589277,0.00023131471740624776,2.8291645369258093e-5,0.0026988932715666714,0.00016410644561350396,4.242326570576029e-5
276,0.0016404167211556565,0.0002317982820045667,2.8846081023915287e-5,0.0027134232805905117,0.0001644061009589358,4.3348739897750536e-5
277,0.0016477154599581869,0.00023233230682513065,2.944863165154575e-5,0.0027283452494448347,0.0001647158686448294,4.431740759798262e-5
278,0.0016556607945805665,0.00023291765279870292,3.0102092492174216e-5,0.002743660316522415,0.00016503571168164047,4.53309545325859e-5
279,0.0016642688264347063,0.00023355518996707753,3.080950841642898e-5,0.0027593695940037544,0.00016536559140364318,4.639114761330485e-5
280,0.0016735561796155157,0.00023424579767676308,3.157419501786281e-5,0.0027754741635832667,0.0001657054674285006,4.7499838044728855e-5
281,0.001683540023381851,0.00023499036474787922,3.239976170840393e-5,0.002791975072070494,0.00016605529761590834,4.8658964536861053e-5
282,0.001694238094784835,0.00023578978961494608,3.329013700920245e-5,0.0028088733268663056,0.00016641503802535587,4.987055662249492e-5
283,0.001705668721391457,0.00023664498043613041,3.4249596247662026e-5,0.002826169891314219,0.00016678464287304,5.113673807847116e-5
284,0.0017178508440471346,0.0002375568551674671,3.528279189168165e-5,0.002843865679927183,0.00016716406448798624,5.24597304494334e-5
285,0.0017308040396163315,0.000238526341598471,3.6394786774214535e-5,0.002861961553490331,0.00016755325326741138,5.384185667220973e-5
286,0.0017445485436353417,0.0002395543773454892,3.7591090485341706e-5,0.002880458314040472,0.00016795215763138442,5.5285544798398184e-5
287,0.0017591052728058072,0.0002406419097990564,3.887769923528823e-5,0.002899356699723303,0.00016836072397683263,5.679333181213812e-5
288,0.0017744958472515953,0.00024178989602145095,4.0261139520365496e-5,0.0029186573795295287,0.00016877889663094057,5.836786753939023e-5
