t,k,m,lambda,k_const,m_const,lambda_const
200,0.0026674399892877335,0.00017131057328395472,3.6988213592090174e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
201,0.0026541811576014734,0.0001708394410309641,3.6279646803371756e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
202,0.002641309232363859,0.00017037756061970524,3.559962349878602e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
203,0.002628823002701246,0.00016992500027308675,3.4947237824354275e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
204,0.002616721255480398,0.00016948182587317193,3.432162029256245e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
205,0.0026050027786893885,0.00016904810101013741,3.372193679628612e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
206,0.0025936663646991404,0.00016862388703094548,3.314738764296729e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
207,0.0025827108134067003,0.00016820924308767862,3.259720661034475e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
208,0.0025721349352614636,0.00016780422618546868,3.207066002488486e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
209,0.0025619375541756184,0.0001674088912299683,3.1567045863917656e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
210,0.0025521175103200653,0.00016702329107430526,3.108569288234994e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
211,0.0025426736628071643,0.00016664747656546398,3.062595976470825e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
212,0.0025336048922616635,0.00016628149659004667,3.0187234303151494e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
213,0.002524910103281191,0.0001659253981193581,2.9768932601993756e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
214,0.002516588226787676,0.00016557922625377075,2.937049830918521e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
215,0.002508638222271119,0.0001652430242663159,2.8991401875115906e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
216,0.0025010590799270822,0.0001649168336454637,2.8631139839032156e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
217,0.0024938498226892663,0.00016460069413704235,2.8289234143289006e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
218,0.0024870095081585756,0.00016429464378525687,2.7965231475600414e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
219,0.0024805372304299625,0.00016399871897277026,2.7658702639398564e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
220,0.002474432121818392,0.000163712954459801,2.736924195236394e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
221,0.002468693354485204,0.00016343738342220992,2.7096466673150247e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
222,0.0024633201419660858,0.00016317203748853179,2.6840016456290703e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
223,0.002458311740601881,0.00016291694677592546,2.659955283524431e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
224,0.0024536674508733643,0.00016267213992500742,2.6374758733515322e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
225,0.0024493866186410785,0.00016243764413353528,2.6165338003757457e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
226,0.002445468636291261,0.00016221348518891915,2.5971014994761274e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
